achi	Achi_(game)
amazons	Game_of_the_Amazons
anti-reversi	Reversed_Othello
arimaa	Arimaa
atoll	Atoll_(game)
atomic-chess	Atomic_chess
atropos	Atropos_(game)
awari	Oware
backgammon	Backgammon
bao-la-kujifunza	Bao_(game)
bao	Bao_(game)
battleship	Battleship_(game)
brandubh	Brandubh
brazilian-draughts	Brazilian_draughts
breakthrough	Breakthrough_(board_game)
bridg-it	Shannon_switching_game
bridge	Contract_bridge
brussels-sprouts	Sprouts_(game)
capablanca-chess	Capablanca_chess
caro	Gomoku
catch-the-hare	Hare_games
catchup	Catchup_(game)
cathedral	Cathedral_(board_game)
checkers	English_draughts
cherries	Cherries_(game)
chess	Chess
chess960	Chess960
chomp	Chomp
clobber	Clobber
col	Col_(game)
conhex	ConHex
connect-four	Connect_Four
connect6	Connect6
conways-soldiers	Conway%27s_Soldiers
courier-chess	Courier_chess
cram	Cram_(game)
crazyhouse	Crazyhouse
crossway	Crossway_(game)
dao	Dao_(game)
dara	Dara_(game)
dawsons-chess	Dawson%27s_chess
dobutsu-shogi	D%C5%8Dbutsu_sh%C5%8Dgi
domineering	Domineering
dots-and-boxes	Dots_and_Boxes
dvonn	DVONN
einstein-wurfelt-nicht	EinStein_w%C3%BCrfelt_nicht!
eleven-mens-morris	Nine_men%27s_morris
euclids-game	Euclid_game
fanorona	Fanorona
fibonacci-nim	Fibonacci_nim
fifteen-puzzle	15_puzzle
four-d-tic-tac-toe	Tic-tac-toe_variants
fox-and-geese	Fox_games
frisian-draughts	Frisian_draughts
geography	Generalized_geography
gipf	GIPF_(game)
glinski-hexagonal-chess	Hexagonal_chess
go	Go_(game)
gomoku	Gomoku
gonnect	Gonnect
grundys-game	Grundy%27s_game
hackenbush	Hackenbush
halatafl	Hnefatafl
hanabi	Hanabi_(card_game)
hare-and-hounds	Hare_and_Hounds
hashiwokakero	Hashiwokakero
havannah	Havannah
heads-up-limit-holdem	Texas_hold_%27em
heads-up-nolimit-holdem	Texas_hold_%27em
hex	Hex_(board_game)
hexapawn	Hexapawn
hive	Hive_(game)
horde-chess	List_of_chess_variants
international-draughts	International_draughts
italian-draughts	Italian_draughts
janggi	Janggi
kalah	Kalah
kayles	Kayles
king-of-the-hill	Chess_variant
klondike-solitaire	Klondike_(solitaire)
klotski	Klotski
konane	Konane
l-game	L_game
lasca	Lasca
lasker-morris	Nine_men%27s_morris
liars-dice	Liar%27s_dice
lights-out	Lights_Out_(game)
lines-of-action	Lines_of_Action
losing-chess	Losing_chess
lyngk	LYNGK
maharajah-and-the-sepoys	Maharajah_and_the_Sepoys
makruk	Makruk
mastermind	Mastermind_(board_game)
maze-conway	Maze_(solitaire)
megaminx	Megaminx
minesweeper	Minesweeper_(video_game)
minichess	Minichess
misere-nim	Nim
mnk-games	M,n,k-game
mock-turtles	Nim
mock-wythoff	Wythoff%27s_game
mogul	Combinatorial_game_theory
mu-torere	M%C5%AB_t%C5%8Drere
nim	Nim
nine-holes	Three_men%27s_morris
nine-mens-morris	Nine_men%27s_morris
ninuki-renju	Ninuki-renju
node-kayles	Kayles
nonograms	Nonogram
northcotts-game	Northcott%27s_game
notakto	Notakto
onyx	Onyx_(game)
order-and-chaos	Order_and_Chaos
othello	Reversi
pallanguzhi	Pallanguzhi
pegs-solitaire	Peg_solitaire
pentago	Pentago
pente	Pente
phutball	Phutball
picaria	Picaria
pocket-cube	Pocket_Cube
poker-nim	Nim
poly-y	Y_(game)
pong-hau-ki	Pong_hau_ki
punct	P%C3%9CNCT
push	Push_(game)
pylos	Pylos_(game)
pyraminx	Pyraminx
quarto	Quarto_(board_game)
qubic	3D_tic-tac-toe
quixo	Quixo
quoridor	Quoridor
red-blue-green-hackenbush	Hackenbush
renju	Renju
rock-paper-scissors	Rock_paper_scissors
rubiks-cube	Rubik%27s_Cube
ruler-game	Ruler_game
rush-hour	Rush_Hour_(puzzle)
russian-draughts	Russian_draughts
samegame	SameGame
score-four	Score_Four
seega	Seega_(game)
shannon-switching-game	Shannon_switching_game
shatranj	Shatranj
shisima	Shisima
shogi	Shogi
shove	Shove_(game)
sim	Sim_(game)
six-mens-morris	Six_men%27s_morris
skat	Skat_(card_game)
skewb	Skewb
slither	Slither_(board_game)
slitherlink	Slitherlink
snort	Snort_(game)
sokoban	Sokoban
songo	Mancala
sprouts	Sprouts_(game)
star	Star_(board_game)
subtract-a-square	Subtract_a_square
sudoku	Sudoku
sungka	Sungka
surakarta	Surakarta_(game)
tablut	Tafl_games
tac-tix	Nim
tamsk	TAMSK
tant-fant	Tant_fant
tapatan	Three_men%27s_morris
teeko	Teeko
three-check-chess	Three-check_chess
three-mens-morris	Three_men%27s_morris
tic-tac-chec	Tic-tac-chec
tic-tac-toe	Tic-tac-toe
tigers-and-goats	Bagh-Chal
toads-and-frogs	Toads_and_Frogs
toguz-kumalak	Toguz_korgool
toppling-dominoes	Combinatorial_game_theory
tower-of-hanoi	Tower_of_Hanoi
treblecross	Treblecross
tribolo	Tribolo
tribonacci-nim	Nim
triplets	Combinatorial_game_theory
turkish-draughts	Turkish_draughts
turning-turtles	Nim
twelve-mens-morris	Twelve_men%27s_morris
twixt	TwixT
tzaar	TZAAR
ultimate-tic-tac-toe	Ultimate_tic-tac-toe
undirected-vertex-geography	Generalized_geography
unlur	Unlur
volo	Volo_(game)
whim	Combinatorial_game_theory
wild-tic-tac-toe	Tic-tac-toe_variants
wolves-and-sheep	Wolf_and_sheep
wythoffs-game	Wythoff%27s_game
xiangqi	Xiangqi
y	Y_(game)
yahtzee	Yahtzee
yinsh	YINSH
yote	Yot%C3%A9
zertz	ZERTZ
